domain_group,source_type,n,authenticity_mean,authenticity_std,emotional_plausibility_mean,specificity_mean,machine_guess_rate,mage_machine_prob_mean
bereavement,human,6,4.916666666666667,0.2041241452319316,4.916666666666667,4.833333333333333,0.0,0.6652622419969703
bereavement,model,12,4.75,0.3370999312316212,4.833333333333333,4.958333333333333,0.0,0.9980217764774958
other_grief,human,6,4.666666666666667,0.25819888974716115,4.916666666666667,4.916666666666667,0.0,0.5957402909552911
other_grief,model,12,4.541666666666667,0.25746432527221863,4.666666666666667,4.916666666666667,0.0,0.9218882440278927
